Issue Type,Summary,Epic Link,Description,Priority,Story Points
Story,"[AS-US14] As an After-Sales Specialist, I want customers to approve estimates and make payments through a secure digital gateway so that service approval and payment collection are frictionless.","After-Sales Specialist/E3 — Customer Communication, Approval & Payment","*Acceptance Criteria:*
Customer can approve/reject estimate from secure link; approved paid repairs update ticket automatically; payment status is captured as Pending, Paid, Failed, or Refunded; receipt is generated after payment.

*Business Value:*
Speeds up approvals, improves cash collection, and gives the service journey a premium digital experience.

*MoSCoW:*
Must Have",Highest,13
Story,"[AS-US15] As an After-Sales Specialist, I want to maintain a communication log for every customer interaction so that the complete service conversation is auditable.","After-Sales Specialist/E3 — Customer Communication, Approval & Payment","*Acceptance Criteria:*
System records sent notifications, customer replies, staff notes, approval actions, and payment events; entries show timestamp and user/source; communication history cannot be deleted by normal users.

*Business Value:*
Creates accountability and prevents confusion between staff, customer, and service center.

*MoSCoW:*
Should Have",High,5
Story,"[AS-US16] As an After-Sales Specialist, I want to look up active warranty records and extend warranty after eligible repairs so that product coverage remains accurate.","After-Sales Specialist/E4 — Warranty, Authentication & Valuation Center","*Acceptance Criteria:*
Warranty lookup returns current coverage, expiry, terms, and previous claims; eligible repairs can trigger warranty extension; warranty update writes back to Product Digital Twin.

*Business Value:*
Maintains accurate warranty history and strengthens long-term customer trust.

*MoSCoW:*
Must Have",Highest,8
Story,"[AS-US17] As an After-Sales Specialist, I want to create authentication requests for luxury items so that suspicious, resale, or high-value items can be officially verified.","After-Sales Specialist/E4 — Warranty, Authentication & Valuation Center","*Acceptance Criteria:*
Authentication request includes product details, serial number, photos, COA if available, and reason; request has statuses Submitted, Under Review, Approved, Rejected; final certificate/result is linked to Product Digital Twin.

*Business Value:*
Protects the brand and gives customers confidence in product authenticity.

*MoSCoW:*
Should Have",High,8
Story,"[AS-US18] As an After-Sales Specialist, I want to request or generate valuation letters so that customers can use official product value documentation for insurance or resale support.","After-Sales Specialist/E4 — Warranty, Authentication & Valuation Center","*Acceptance Criteria:*
Valuation request includes product identity, condition report, service history, and photos; valuation letter can be previewed/exported; final letter is attached to AST and Product Digital Twin.

*Business Value:*
Adds premium after-sales value beyond repairs and supports luxury ownership needs.

*MoSCoW:*
Should Have",High,8
Story,"[AS-US19] As an After-Sales Specialist, I want to schedule client pickup or delivery after QA approval so that the item is returned through a controlled process.",After-Sales Specialist/E5 — Return & Logistics Management,"*Acceptance Criteria:*
Pickup/delivery can be scheduled only after QA pass; customer receives pickup notification; pickup slot, return method, staff ID, and customer confirmation are recorded; missed pickup can be rescheduled.

*Business Value:*
Ensures the final handover is smooth, traceable, and customer-friendly.

*MoSCoW:*
Must Have",Highest,5
Story,"[AS-US20] As an After-Sales Specialist, I want to generate return packaging documents and track outbound shipments for completed repairs so that shipped items are protected and traceable.",After-Sales Specialist/E5 — Return & Logistics Management,"*Acceptance Criteria:*
System generates packaging checklist, return label, and shipment reference; shipment status is tracked as Packed, Shipped, In Transit, Delivered, or Exception; delivery completion closes logistics step.

*Business Value:*
Reduces lost-item risk and ensures luxury items are returned safely with proper documentation.

*MoSCoW:*
Must Have",Highest,8
Story,"[AS-US21] As an After-Sales Specialist, I want to see my active repair queue with SLA status, assigned technician, stage, and priority so that I can focus on urgent service cases first.",After-Sales Specialist/E6 — Service Intelligence Dashboard,"*Acceptance Criteria:*
Dashboard lists active ASTs; tickets can be filtered by status, SLA risk, priority, and technician; overdue or near-breach cases are highlighted; tapping a case opens ticket detail.

*Business Value:*
Helps specialists manage workload and prevent SLA breaches.

*MoSCoW:*
Must Have",Highest,5
Story,"[AS-US22] As an After-Sales Specialist, I want AI-powered SLA breach risk and bottleneck alerts so that I can act before repairs become delayed.",After-Sales Specialist/E6 — Service Intelligence Dashboard,"*Acceptance Criteria:*
System flags tickets at SLA risk; alert explains reason such as pending approval, unavailable parts, QA delay, or service center delay; specialist can trigger escalation or next action from the alert.

*Business Value:*
Makes the service team proactive instead of reactive and protects customer satisfaction.

*MoSCoW:*
Should Have",High,13
Story,"[AS-US23] As an After-Sales Specialist, I want to view service analytics such as average repair time, QA failure rate, repeat repair rate, and most common issues so that I can improve repair quality.",After-Sales Specialist/E6 — Service Intelligence Dashboard,"*Acceptance Criteria:*
Dashboard shows average repair time, QA failure rate, repeat repair rate, top issue categories, and completed repairs; filters work by date, category, store, and technician; report can be exported.

*Business Value:*
Helps the team identify recurring quality problems and improve service operations.

*MoSCoW:*
Should Have",High,8
Story,"[AS-US24] As an After-Sales Specialist, I want every repair event to be appended to the Product Digital Twin so that the item has a permanent service history.",After-Sales Specialist/E2 — Repair Workflow Engine,"*Acceptance Criteria:*
AST creation, diagnostics, estimate approval, parts allocation, repair completion, QA result, warranty update, authentication, valuation, and return events are added to the Product Digital Twin timeline; timeline remains chronological and auditable.

*Business Value:*
Creates a complete luxury service passport and connects After-Sales with Inventory, Sales, and Corporate visibility.

*MoSCoW:*
Must Have",Highest,13
